N°Empresa,Empresa,NSector,Sector,Código,#,SA,Code
1,3R PETROLEUM,1,Oil,,,,RRRP3.SA
2,COSAN       ,1,Oil,,,,CSAN3.SA
3,ENAUTA PART,1,Oil,,,,ENAT3.SA
4,PET MANGUINH,1,Oil,,,,RPMG3.SA
5,PETROBRAS   ,1,Oil,,,,PETR3.SA
6,PETRORECSA ,1,Oil,,,,RECV3.SA
7,PETRORIO,1,Oil,,,,PRIO3.SA
8,RAIZEN,1,Oil,,,,RAIZ4.SA
9,ULTRAPAR    ,1,Oil,,,,UGPA3.SA
10,VIBRA,1,Oil,,,,VBBR3.SA
11,LUPATECH    ,1,Oil,,,,LUPA3.SA
12,OCEANPACT,1,Oil,,,,OPCT3.SA
13,OSX BRASIL  ,1,Oil,,,,OSXB3.SA
14,ÓLEO E GÁS PARTICIPAÇÕES S.A.,1,Oil,,,,OGXP3.SA
15,AURA 360,2,Mining,AURA,33,.SA,AURA33.SA
16,BRADESPAR   ,2,Mining,BRAP,3,.SA,BRAP3.SA
17,CBA,2,Mining,CBAV,3,.SA,CBAV3.SA
18,CSNMINERACAO,2,Mining,CMIN,3,.SA,CMIN3.SA
19,VALE        ,2,Mining,VALE,3,.SA,VALE3.SA
20,FERBASA     ,3,Basic Materials,FESA,3,.SA,FESA4.SA
21,GERDAU      ,3,Basic Materials,GGBR,3,.SA,GGBR3.SA
22,GERDAU MET  ,3,Basic Materials,GOAU,3,.SA,GOAU3.SA
23,SID NACIONAL,3,Basic Materials,CSNA,3,.SA,CSNA3.SA
24,USIMINAS    ,3,Basic Materials,USIM,3,.SA,USIM3.SA
25,MANGELS INDL,3,Basic Materials,MGEL,3,.SA,MGEL4.SA
26,PANATLANTICA,3,Basic Materials,PATI,3,.SA,PATI3.SA
27,TEKNO       ,3,Basic Materials,TKNO,3,.SA,TKNO4.SA
28,PARANAPANEMA,3,Basic Materials,PMAM,3,.SA,PMAM3.SA
29,BRASKEM     ,3,Basic Materials,BRKM,3,.SA,BRKM3.SA
30,DEXXOS PAR,3,Basic Materials,DEXP,3,.SA,DEXP3.SA
31,FER HERINGER,3,Basic Materials,FHER,3,.SA,FHER3.SA
32,NUTRIPLANT  ,3,Basic Materials,NUTR,3,.SA,NUTR3.SA
33,VITTIA,3,Basic Materials,VITT,3,.SA,VITT3.SA
34,CRISTAL,3,Basic Materials,CRPG,3,.SA,CRPG3.SA
35,UNIPAR      ,3,Basic Materials,UNIP,3,.SA,UNIP3.SA
36,IRANI ,3,Basic Materials,RANI,3,.SA,RANI3.SA
37,SANSUY      ,3,Basic Materials,SNSY,3,.SA,SNSY3.SA
38,FIBAM,3,Basic Materials,FBMC,3,.SA,FBMC3.SA
39,FIBRIA ,3,Basic Materials,FIBR,3,.SA,FIBR3.SA
40,METAL IGUACU,3,Basic Materials,MTIG,3,.SA,MTIG3.SA
41,DEXCO,4,Wood and Paper,DXCO,3,.SA,DXCO3.SA
42,EUCATEX     ,4,Wood and Paper,EUCA,3,.SA,EUCA4.SA
43,KLABIN S/A  ,4,Wood and Paper,KLBN,3,.SA,KLBN3.SA
44,MELHOR SP   ,4,Wood and Paper,MSPA,3,.SA,MSPA3.SA
45,SUZANO HOLD ,4,Wood and Paper,NEMO,3,.SA,NEMO3.SA
46,SUZANO S.A.,4,Wood and Paper,SUZB,3,.SA,SUZB3.SA
47,ETERNIT     ,5,Capital Goods and Services,ETER,3,.SA,ETER3.SA
48,HAGA S/A    ,5,Capital Goods and Services,HAGA,3,.SA,HAGA3.SA
49,PORTOBELLO  ,5,Capital Goods and Services,PTBL,3,.SA,PTBL3.SA
50,AZEVEDO     ,5,Capital Goods and Services,AZEV,3,.SA,AZEV3.SA
51,SONDOTECNICA,5,Capital Goods and Services,SOND,3,.SA,SOND3.SA
52,EMBRAER     ,5,Capital Goods and Services,EMBR,3,.SA,EMBR3.SA
53,FRAS-LE     ,5,Capital Goods and Services,FRAS,3,.SA,FRAS3.SA
54,MARCOPOLO   ,5,Capital Goods and Services,POMO,3,.SA,POMO3.SA
55,RANDON PART ,5,Capital Goods and Services,RAPT,3,.SA,RAPT3.SA
56,RECRUSUL    ,5,Capital Goods and Services,RCSL,3,.SA,RCSL3.SA
57,RIOSULENSE  ,5,Capital Goods and Services,RSUL,3,.SA,RSUL4.SA
58,TUPY        ,5,Capital Goods and Services,TUPY,3,.SA,TUPY3.SA
59,WETZEL S/A  ,5,Capital Goods and Services,MWET,3,.SA,MWET4.SA
60,SCHULZ      ,5,Capital Goods and Services,SHUL,3,.SA,SHUL4.SA
61,WEG         ,5,Capital Goods and Services,WEGE,3,.SA,WEGE3.SA
62,ACO ALTONA  ,5,Capital Goods and Services,EALT,3,.SA,EALT3.SA
63,AERIS,5,Capital Goods and Services,AERI,3,.SA,AERI3.SA
64,ARMAC,5,Capital Goods and Services,ARML,3,.SA,ARML3.SA
65,BARDELLA    ,5,Capital Goods and Services,BDLL,3,.SA,BDLL3.SA
66,INEPAR      ,5,Capital Goods and Services,INEP,3,.SA,INEP3.SA
67,KEPLER WEBER,5,Capital Goods and Services,KEPL,3,.SA,KEPL3.SA
68,METALFRIO   ,5,Capital Goods and Services,FRIO,3,.SA,FRIO3.SA
69,MILLS       ,5,Capital Goods and Services,MILS,3,.SA,MILS3.SA
70,NORDON MET  ,5,Capital Goods and Services,NORD,3,.SA,NORD3.SA
71,ROMI   ,5,Capital Goods and Services,ROMI,3,.SA,ROMI3.SA
72,METISA      ,5,Capital Goods and Services,MTSA,3,.SA,MTSA3.SA
73,TAURUS ARMAS,5,Capital Goods and Services,TASA,3,.SA,TASA3.SA
74,AZUL,5,Capital Goods and Services,AZUL,4,.SA,AZUL4.SA
75,GOL         ,5,Capital Goods and Services,GOLL,4,.SA,GOLL4.SA
76,FER C ATLANT,5,Capital Goods and Services,VSPT,3,.SA,VSPT3.SA
77,MRS LOGIST  ,5,Capital Goods and Services,MRSA,3B,.SA,MRSA3B.SA
78,RUMO S.A.,5,Capital Goods and Services,RAIL,3,.SA,RAIL3.SA
79,HIDROVIAS,5,Capital Goods and Services,HBSA,3,.SA,HBSA3.SA
80,LOG-IN      ,5,Capital Goods and Services,LOGN,3,.SA,LOGN3.SA
81,JSL         ,5,Capital Goods and Services,JSLG,3,.SA,JSLG3.SA
82,TEGMA       ,5,Capital Goods and Services,TGMA,3,.SA,TGMA3.SA
83,CCR SA      ,5,Capital Goods and Services,CCRO,3,.SA,CCRO3.SA
84,ECORODOVIAS ,5,Capital Goods and Services,ECOR,3,.SA,ECOR3.SA
85,TRIUNFO PART,5,Capital Goods and Services,TPIS,3,.SA,TPIS3.SA
86,PORTO VM,5,Capital Goods and Services,PSVM,11,.SA,PSVM11.SA
87,SANTOS BRP  ,5,Capital Goods and Services,STBP,3,.SA,STBP3.SA
88,WILSON SONS ,5,Capital Goods and Services,PORT,3,.SA,PORT3.SA
89,ATMASA,5,Capital Goods and Services,ATMP,3,.SA,ATMP3.SA
90,DTCOM-DIRECT,5,Capital Goods and Services,DTCY,3,.SA,DTCY3.SA
91,ESTAPAR,5,Capital Goods and Services,ALPK,3,.SA,ALPK3.SA
92,GPS,5,Capital Goods and Services,GGPS,3,.SA,GGPS3.SA
93,PRINER,5,Capital Goods and Services,PRNR,3,.SA,PRNR3.SA
94,SEQUOIA LOG,5,Capital Goods and Services,SEQL,3,.SA,SEQL3.SA
95,VALID       ,5,Capital Goods and Services,VLID,3,.SA,VLID3.SA
96,EMBPAR S/A,5,Capital Goods and Services,EPAR,3,.SA,EPAR3.SA
97,MINASMAQUINA,5,Capital Goods and Services,MMAQ,3,.SA,MMAQ3.SA
98,WLM IND COM ,5,Capital Goods and Services,WLMM,3,.SA,WLMM3.SA
99,DOC IMBITUBA,5,Capital Goods and Services,IMBI,3,.SA,IMBI3.SA
100,PRUMO,5,Capital Goods and Services,PRML,3,.SA,PRML3.SA
101,SULTEPA ,5,Capital Goods and Services,SULT,3,.SA,SULT3.SA
102,3TENTOS,6,Farming,TTEN,3,.SA,TTEN3.SA
103,AGRIBRASIL,6,Farming,GRAO,3,.SA,GRAO3.SA
104,AGROGALAXY,6,Farming,AGXY,3,.SA,AGXY3.SA
105,ALIPERTI    ,6,Farming,APTI,4,.SA,APTI4.SA
106,BOA SAFRA,6,Farming,SOJA,3,.SA,SOJA3.SA
107,BRASILAGRO  ,6,Farming,AGRO,3,.SA,AGRO3.SA
108,SLC AGRICOLA,6,Farming,SLCE,3,.SA,SLCE3.SA
109,TERRASANTAPA,6,Farming,LAND,3,.SA,LAND3.SA
110,JALLESMACHAD,7,Consumer non Cyclical,JALL,3,.SA,JALL3.SA
111,SAO MARTINHO,7,Consumer non Cyclical,SMTO,3,.SA,SMTO3.SA
112,BRF SA   ,7,Consumer non Cyclical,BRFS,3,.SA,BRFS3.SA
113,EXCELSIOR   ,7,Consumer non Cyclical,BAUH,3,.SA,BAUH3.SA
114,JBS         ,7,Consumer non Cyclical,JBSS,3,.SA,JBSS3.SA
115,MARFRIG     ,7,Consumer non Cyclical,MRFG,3,.SA,MRFG3.SA
116,MINERVA     ,7,Consumer non Cyclical,BEEF,3,.SA,BEEF3.SA
117,MINUPAR     ,7,Consumer non Cyclical,MNPR,3,.SA,MNPR3.SA
118,CAMIL,7,Consumer non Cyclical,CAML,3,.SA,CAML3.SA
119,JOSAPAR     ,7,Consumer non Cyclical,JOPA,3,.SA,JOPA3.SA
120,M.DIASBRANCO,7,Consumer non Cyclical,MDIA,3,.SA,MDIA3.SA
121,ODERICH     ,7,Consumer non Cyclical,ODER,4,.SA,ODER4.SA
122,AMBEV S/A,7,Consumer non Cyclical,ABEV,3,.SA,ABEV3.SA
123,GRUPO NATURA      ,7,Consumer non Cyclical,NTCO,3,.SA,NTCO3.SA
124,BOMBRIL     ,7,Consumer non Cyclical,BOBR,3,.SA,BOBR3.SA
125,ASSAI,7,Consumer non Cyclical,ASAI,3,.SA,ASAI3.SA
126,CARREFOUR BR,7,Consumer non Cyclical,CRFB,3,.SA,CRFB3.SA
127,GRUPO MATEUS,7,Consumer non Cyclical,GMAT,3,.SA,GMAT3.SA
128,ÉXITO,7,Consumer non Cyclical,EXCO,32,.SA,EXCO32.SA
129,P.ACUCAR-CBD,7,Consumer non Cyclical,PCAR,3,.SA,PCAR3.SA
130,BR PHARMA,7,Consumer non Cyclical,BPHA,3,.SA,BPHA3.SA
131,TEREOS ,7,Consumer non Cyclical,TERI,3,.SA,TERI3.SA
132,ALPHAVILLE,8,Heavy Construction,AVLL,3,.SA,AVLL3.SA
133,CONST A LIND,8,Heavy Construction,CALI,3,.SA,CALI3.SA
134,CURY S/A,8,Heavy Construction,CURY,3,.SA,CURY3.SA
135,CYRELA REALT,8,Heavy Construction,CYRE,3,.SA,CYRE3.SA
136,DIRECIONAL  ,8,Heavy Construction,DIRR,3,.SA,DIRR3.SA
137,EVEN        ,8,Heavy Construction,EVEN,3,.SA,EVEN3.SA
138,EZTEC       ,8,Heavy Construction,EZTC,3,.SA,EZTC3.SA
139,FICA,8,Heavy Construction,FIEI,3,.SA,FIEI3.SA
140,GAFISA      ,8,Heavy Construction,GFSA,3,.SA,GFSA3.SA
141,HELBOR      ,8,Heavy Construction,HBOR,3,.SA,HBOR3.SA
142,JHSF PART   ,8,Heavy Construction,JHSF,3,.SA,JHSF3.SA
143,JOAO FORTES ,8,Heavy Construction,JFEN,3,.SA,JFEN3.SA
144,LAVVI,8,Heavy Construction,LAVV,3,.SA,LAVV3.SA
145,MELNICK,8,Heavy Construction,MELK,3,.SA,MELK3.SA
146,MITRE REALTY,8,Heavy Construction,MTRE,3,.SA,MTRE3.SA
147,MOURA DUBEUX,8,Heavy Construction,MDNE,3,.SA,MDNE3.SA
148,MRV         ,8,Heavy Construction,MRVE,3,.SA,MRVE3.SA
149,PDG REALT   ,8,Heavy Construction,PDGR,3,.SA,PDGR3.SA
150,PLANOEPLANO,8,Heavy Construction,PLPL,3,.SA,PLPL3.SA
151,RNI,8,Heavy Construction,RDNI,3,.SA,RDNI3.SA
152,ROSSI RESID ,8,Heavy Construction,RSID,3,.SA,RSID3.SA
153,TECNISA     ,8,Heavy Construction,TCSA,3,.SA,TCSA3.SA
154,TENDA,8,Heavy Construction,TEND,3,.SA,TEND3.SA
155,TRISUL      ,8,Heavy Construction,TRIS,3,.SA,TRIS3.SA
156,VIVER       ,8,Heavy Construction,VIVR,3,.SA,VIVR3.SA
157,MENDES JR,8,Heavy Construction,MEND,3,.SA,MEND3.SA
158,CEDRO       ,9,Consumer Cyclical,CEDO,3,.SA,CEDO4.SA
159,COTEMINAS   ,9,Consumer Cyclical,CTNM,3,.SA,CTNM3.SA
160,DOHLER      ,9,Consumer Cyclical,DOHL,3,.SA,DOHL4.SA
161,KARSTEN     ,9,Consumer Cyclical,CTKA,3,.SA,CTKA3.SA
162,PETTENATI   ,9,Consumer Cyclical,PTNT,3,.SA,PTNT4.SA
163,SANTANENSE  ,9,Consumer Cyclical,CTSA,3,.SA,CTSA3.SA
164,SPRINGS     ,9,Consumer Cyclical,SGPS,3,.SA,SGPS3.SA
165,TEKA        ,9,Consumer Cyclical,TEKA,3,.SA,TEKA4.SA
166,TEX RENAUX  ,9,Consumer Cyclical,TXRX,3,.SA,TXRX4.SA
167,TRACK FIELD,9,Consumer Cyclical,TFCO,4,.SA,TFCO4.SA
168,ALPARGATAS  ,9,Consumer Cyclical,ALPA,3,.SA,ALPA3.SA
169,CAMBUCI     ,9,Consumer Cyclical,CAMB,3,.SA,CAMB3.SA
170,GRENDENE    ,9,Consumer Cyclical,GRND,3,.SA,GRND3.SA
171,VULCABRAS   ,9,Consumer Cyclical,VULC,3,.SA,VULC3.SA
172,MUNDIAL     ,9,Consumer Cyclical,MNDL,3,.SA,MNDL3.SA
173,TECHNOS     ,9,Consumer Cyclical,TECN,3,.SA,TECN3.SA
174,VIVARA S.A.,9,Consumer Cyclical,VIVA,3,.SA,VIVA3.SA
175,WHIRLPOOL   ,9,Consumer Cyclical,WHRL,3,.SA,WHRL3.SA
176,MOBLY,9,Consumer Cyclical,MBLY,3,.SA,MBLY3.SA
177,UNICASA,9,Consumer Cyclical,UCAS,3,.SA,UCAS3.SA
178,WESTWING,9,Consumer Cyclical,WEST,3,.SA,WEST3.SA
179,HERCULES    ,9,Consumer Cyclical,HETA,3,.SA,HETA3.SA
